54.5,-57,5.5
54.5,-57,7.5
54.5,-57,9.5
54.5,-57,13.5
54.5,-57,16.5
54.5,-57,20.5
54.5,-57,26.5
54.5,-57,30.5
54.5,-57,35.5
54.5,-57,42.5
54.5,-57,47.5
54.5,-57,54.5
56.5,-57,54.5
56.5,-57,56.5
59.5,-57,56.5
59.5,-57,59.5
61.5,-57,59.5
63.5,-57,61.5
63.5,-57,63.5
66.5,-57,63.5
66.5,-57,66.5
69.5,-57,66.5
70.5,-57,69.5
73.5,-57,70.5
75.5,-57,70.5
75.5,-57,73.5
75.5,-57,75.5
79.5,-57,75.5
79.5,-57,79.5
84.5,-57,79.5
84.5,-57,84.5
88.5,-57,84.5
90.5,-57,88.5
95.5,-57,90.5
96.5,-57,95.5
102.5,-57,95.5
101.5,-57,100.5
106.5,-57,101.5
108.5,-57,106.5
108.5,-57,108.5
108.5,-56,110.5
108.5,-55,112.5
108.5,-54,116.5
108.5,-53,120.5
108.5,-52,123.5
108.5,-51,127.5
108.5,-51,129.5
108.5,-50,133.5
108.5,-49,137.5
108.5,-48,142.5
108.5,-47,145.5
108.5,-46,147.5
108.5,-45,150.5
107.5,-44,151.5
105.5,-43,153.5
101.5,-42,156.5
100.5,-41,158.5
98.5,-40,160.5
95.5,-39,163.5
93.5,-39,165.5
90.5,-38,168.5
87.5,-37,171.5
83.5,-36,175.5
81.5,-36,177.5
79.5,-36,179.5
77.5,-36,181.5
74.5,-36,184.5
69.5,-36,189.5
66.5,-36,192.5
62.5,-36,196.5
60.5,-36,198.5
56.5,-36,202.5
52.5,-36,206.5
47.5,-36,211.5
42.5,-36,216.5
37.5,-36,221.5
32.5,-35,226.5
31.5,-34,228.5
30.5,-33,231.5
29.5,-32,233.5
29.5,-32,235.5
28.5,-31,237.5
29.5,-30,239.5
30.5,-29,241.5
31.5,-28,244.5
31.5,-28,246.5
28.5,-27,247.5
25.5,-26,248.5
21.5,-25,249.5
16.5,-24,250.5
12.5,-23,251.5
8.5,-22,252.5
3.5,-21,253.5
-2.5,-20,254.5
-4.5,-19,255.5
-6.5,-18,256.5
-9.5,-17,257.5
-14.5,-16,258.5
-17.5,-15,259.5
-22.5,-14,260.5
-28.5,-13,262.5
-33.5,-13,262.5
-36.5,-13,262.5
-41.5,-13,262.5
-43.5,-13,262.5
-47.5,-13,262.5
-49.5,-13,262.5
-53.5,-13,262.5
-55.5,-13,262.5
-57.5,-13,262.5
-59.5,-13,262.5
-68.5,-13,262.5
-70.5,-13,262.5
-78.5,-13,262.5
-80.5,-13,262.5
-86.5,-13,262.5
-88.5,-13,262.5
-92.5,-13,262.5
-94.5,-13,262.5
-97.5,-13,262.5
-99.5,-13,262.5
-101.5,-13,262.5
-105.5,-13,262.5
-107.5,-13,262.5
-112.5,-13,262.5
-114.5,-13,262.5
-116.5,-13,262.5
-120.5,-13,262.5
-123.5,-13,262.5
-125.5,-13,262.5
-127.5,-13,262.5
-130.5,-13,265.5
-132.5,-13,267.5
-132.5,-12,271.5
-136.5,-12,271.5
-136.5,-11,268.5
-135.5,-11,267.5
-131.5,-10,266.5
-129.5,-10,264.5
-126.5,-10,262.5
-123.5,-10,262.5
-120.5,-10,262.5
-117.5,-10,262.5
-115.5,-9,266.5
-115.5,9,277.5
